Sentence,True_label,Pred_label,Pred_conf_score,Int1,Int2,Int3,flag_3_match,flag_1_match,len_of_uttr
current bal,Can I view my account balance?,Can I view my account balance?,0.13489834366002976,Can I view my account balance?,How do I make a trade?,What is the interest rate on a cash position?,1,1,2
do i have any cash in my account. thank you,Can I view my account balance?,Can I view my account balance?,0.8866081237250627,Can I view my account balance?,How do I make a trade?,I want to set up a withdrawal,1,1,10
do i have any money in my rollover ira,Can I view my account balance?,I want to set up a deposit,0.30299945971066483,I want to set up a deposit,I have questions about rollovers,Can I view my account balance?,1,0,9
does my account have a margin debit balance?,Can I view my account balance?,I need information about margin,0.8372523898061708,I need information about margin,Can I view my account balance?,I have a question about a Fidelity debit or credit card,1,0,8
has my margin balance been cleared,Can I view my account balance?,I need information about margin,0.8324717305070027,I need information about margin,When will my funds be available?,I am worried about fraud on my account,0,0,6
how can i access my net worth information,Can I view my account balance?,I am having trouble logging in,0.5276218859241828,I am having trouble logging in,Can I view my account balance?,I am having trouble with a Fidelity website or app,1,0,8
how can i check my balance,Can I view my account balance?,Can I view my account balance?,0.9510373565393145,Can I view my account balance?,I have questions about checkwriting and checks,I want to set up a withdrawal,1,1,6
how can i find out if i have any money,Can I view my account balance?,Can I view my account balance?,0.729371868498263,Can I view my account balance?,I want to set up a withdrawal,What type of account do I have?,1,1,10
how can i view my balances,Can I view my account balance?,Can I view my account balance?,0.9193159202918516,Can I view my account balance?,I have questions about Full View®,I need to know about my account positions,1,1,6
how do i find out the value of my ira,Can I view my account balance?,Can I view my account balance?,0.7947032242539374,Can I view my account balance?,I need to know about my account positions,show me a stock price,1,1,10
how do i get my balance in the account,Can I view my account balance?,Can I view my account balance?,0.9355516170605673,Can I view my account balance?,I want to set up a transfer,I want to set up a withdrawal,1,1,9
how do i look at my statement to find out how much cash i have to invest,Can I view my account balance?,How can I receive a copy of my statement?,0.7472550652806091,How can I receive a copy of my statement?,Can I view my account balance?,How do I choose a good investment?,1,0,17
how do i verify the current balance of my retirement account?,Can I view my account balance?,Can I view my account balance?,0.6558339457004345,Can I view my account balance?,How much do I need to save for retirement?,Where can I view my account history?,1,1,11
how much cash is in my account,Can I view my account balance?,Can I view my account balance?,0.8826713417687132,Can I view my account balance?,Is there an account minimum?,What is the interest rate on a cash position?,1,1,7
how much do i have in my 401k,Can I view my account balance?,Can I view my account balance?,0.7730634031025074,Can I view my account balance?,How much do I need to save for retirement?,I have a question about my contributions,1,1,8
how much do i have in my nah belo retirement account,Can I view my account balance?,Can I view my account balance?,0.6122701265052404,Can I view my account balance?,Where can I view my account history?,How much do I need to save for retirement?,1,1,11
how much is in my checking account at this time?,Can I view my account balance?,Can I view my account balance?,0.730836163339578,Can I view my account balance?,How much can I withdraw from my account?,I want to make changes to my bank information,1,1,10
how much is in my roth ira?,Can I view my account balance?,Can I view my account balance?,0.7999846289222854,Can I view my account balance?,What is a Roth IRA?,What are the rules for a Roth IRA?,1,1,7
how much money i got,Can I view my account balance?,Where can I view my account history?,0.36294108367485206,Where can I view my account history?,Can I view my account balance?,How much can I withdraw from my account?,1,0,5
"how much money i have currently, that is mine",Can I view my account balance?,How much can I withdraw from my account?,0.3949224057692562,How much can I withdraw from my account?,Can I view my account balance?,How much do I need to save for retirement?,1,0,9
how much money is in my account,Can I view my account balance?,Can I view my account balance?,0.873803831685835,Can I view my account balance?,How much can I withdraw from my account?,I need to know about my account positions,1,1,7
how much money would i get if i liquidated all my accounts?,Can I view my account balance?,Can I view my account balance?,0.34306463294092776,Can I view my account balance?,Where can I view my account history?,I want to set up a withdrawal,1,1,12
how to find 2018 account balance,Can I view my account balance?,Can I view my account balance?,0.7762716618229534,Can I view my account balance?,How can I receive a copy of my statement?,Where can I view my account history?,1,1,6
i can't find my balances,Can I view my account balance?,Can I view my account balance?,0.8190733408746638,Can I view my account balance?,I can't find my account,I'm unable to link my bank account,1,1,5
i have a retirement account that i have not logged into since retirement in 2014.  how can i log in?,Can I view my account balance?,I am having trouble logging in,0.4075096615480829,I am having trouble logging in,I need to know about my account positions,Help with my retirement plan,0,0,21
i have question about my available cash balance,Can I view my account balance?,Can I view my account balance?,0.7027317125789296,Can I view my account balance?,How much cash do I have to trade with?,I need to know about my account positions,1,1,8
i just looked in my account and it says i have $# available? from $#,Can I view my account balance?,Can I view my account balance?,0.31655014112726254,Can I view my account balance?,When will my funds be available?,How much can I withdraw from my account?,1,1,15
i want my account balance,Can I view my account balance?,Can I view my account balance?,0.9464415867390313,Can I view my account balance?,How do I close my account?,I want to set up a withdrawal,1,1,5
i want to know if i still have money in my account,Can I view my account balance?,Can I view my account balance?,0.6833486330199654,Can I view my account balance?,I need to know about my account positions,When will my funds be available?,1,1,12
i want to view my account balance,Can I view my account balance?,Can I view my account balance?,0.924042470498269,Can I view my account balance?,I have questions about Full View®,What is my account number?,1,1,7
"i will write a $25,000 check on account a********. do i need to move $ between the money market accounts?",Can I view my account balance?,I want to set up a transfer,0.3545051773128939,I want to set up a transfer,I want to set up a withdrawal,How do I make a trade?,0,0,20
i would like to know opening balance on a couple of my account,Can I view my account balance?,Can I view my account balance?,0.3015430752173908,Can I view my account balance?,I need to know about my account positions,Where can I view my account history?,1,1,13
i'm an advisor. how can i see the current balance of a 529 account?,Can I view my account balance?,Can I view my account balance?,0.6365554984060885,Can I view my account balance?,I want to contact an advisor,I need to know about my account positions,1,1,14
i'm having a hard time finding what my checking account balance is could you help me.,Can I view my account balance?,Can I view my account balance?,0.798572233011334,Can I view my account balance?,Where can I view my account history?,I'm unable to link my bank account,1,1,16
individual account 369.66,Can I view my account balance?,Where do I find information about my accounts?,0.21235489699182886,Where do I find information about my accounts?,Help with my retirement plan,What is a brokerage account?,0,0,3
margin balance,Can I view my account balance?,I need information about margin,0.7517624829650897,I need information about margin,Can I view my account balance?,I have a question about a margin call,1,0,2
mixed roth and non roth #,Can I view my account balance?,What's the difference between a traditional and Roth IRA?,0.234345776937044,What's the difference between a traditional and Roth IRA?,What is a Roth IRA?,What is an emergency fund?,0,0,6
my current balance,Can I view my account balance?,Can I view my account balance?,0.8046593182047461,Can I view my account balance?,I need information about loans,What is the interest rate on a cash position?,1,1,3
need balance ..oct.9 2018...for dentist payment,Can I view my account balance?,I want to set up a transfer,0.14237793035187743,I want to set up a transfer,I have a question about Billpay,Can I view my account balance?,1,0,6
no i want to find out my account balance,Can I view my account balance?,Can I view my account balance?,0.9346011912673079,Can I view my account balance?,How do I close my account?,I want to set up a withdrawal,1,1,9
please confirm the cash amount i have in my joint wros account,Can I view my account balance?,What type of account do I have?,0.35825108248275683,What type of account do I have?,Can I view my account balance?,I need to know about my account positions,1,0,12
roth balances,Can I view my account balance?,Can I view my account balance?,0.8956876087206473,Can I view my account balance?,Is a Roth conversion subject to a 10% penalty?,What is a Roth IRA?,1,1,2
see my total balance,Can I view my account balance?,Can I view my account balance?,0.8712691455703571,Can I view my account balance?,Where can I view my account history?,Where is my taxable activity like summary of dividend and realized gains and losses?,1,1,4
view current balance,Can I view my account balance?,Can I view my account balance?,0.7564766506537104,Can I view my account balance?,I need to know about my account positions,I need information about loans,1,1,3
what happened to the balance over time graph,Can I view my account balance?,Where can I view my account history?,0.3081879936027525,Where can I view my account history?,Can I view my account balance?,I need to know about my account positions,1,0,8
what is my 401k balance,Can I view my account balance?,Can I view my account balance?,0.89862997647303,Can I view my account balance?,How much do I need to save for retirement?,I need information about loans,1,1,5
what is my balance and i can i take out,Can I view my account balance?,Can I view my account balance?,0.6988656214122261,Can I view my account balance?,How much can I withdraw from my account?,Is this activity taxable?,1,1,10
what is my bslance,Can I view my account balance?,Can I view my account balance?,0.5749130990909135,Can I view my account balance?,I need information about a Stock Plan Services account,I can't find my account,1,1,4
what is the balance on my account .,Can I view my account balance?,Can I view my account balance?,0.9477312919295088,Can I view my account balance?,Is there an account minimum?,What is the interest rate on a cash position?,1,1,8
what is the balance on my checking?,Can I view my account balance?,Can I view my account balance?,0.911764930897682,Can I view my account balance?,I want to make changes to my bank information,Is this activity taxable?,1,1,7
what is the cash balance in my individual account,Can I view my account balance?,Can I view my account balance?,0.8435889791620519,Can I view my account balance?,I want to set up a withdrawal,Is there an account minimum?,1,1,9
what is the title of my account,Can I view my account balance?,What is my account number?,0.4445395047764854,What is my account number?,How do I name an account?,How do I change the successor participant on a 529?,0,0,7
what screen are my balances on?,Can I view my account balance?,Can I view my account balance?,0.775022489126821,Can I view my account balance?,How do I choose a good investment?,I need to know about my account positions,1,1,6
what was amount in account   #,Can I view my account balance?,Can I view my account balance?,0.525841068972371,Can I view my account balance?,Where can I view my account history?,I can't find my account,1,1,8
what was my account balance at the start of business today?,Can I view my account balance?,Can I view my account balance?,0.5136638277081742,Can I view my account balance?,Where can I view my account history?,How can I receive a copy of my statement?,1,1,11
what's my account balance,Can I view my account balance?,Can I view my account balance?,0.9391494493556057,Can I view my account balance?,What is a core position?,How can I receive a copy of my statement?,1,1,4
what’s my account balance?,Can I view my account balance?,Can I view my account balance?,0.9384535259339664,Can I view my account balance?,What is a core position?,How can I receive a copy of my statement?,1,1,4
when i purchased shares of biotime i thought my cash would be applied towards the shares. is that correct?,Can I view my account balance?,When will my funds be available?,0.2785094760202199,When will my funds be available?,What does settlement date mean?,I need to know about my account positions,0,0,19
where can i find the balance on the margin account,Can I view my account balance?,I need information about margin,0.8098156721413147,I need information about margin,Can I view my account balance?,Where can I view my account history?,1,0,10
where do i find my roth ira balance,Can I view my account balance?,Can I view my account balance?,0.934235844246643,Can I view my account balance?,I can't find my account,Where can I view my account history?,1,1,8
where do i find my roth ira balance?,Can I view my account balance?,Can I view my account balance?,0.934050882134141,Can I view my account balance?,I can't find my account,Where can I view my account history?,1,1,8
where do i go to find margin balance,Can I view my account balance?,I need information about margin,0.9326948212102574,I need information about margin,Can I view my account balance?,How can I receive a copy of my statement?,1,0,8
why do i have a cashn balance,Can I view my account balance?,Can I view my account balance?,0.9546126361642208,Can I view my account balance?,What is a core position?,How much cash do I have to trade with?,1,1,7
why is my cash available amount different from the value of my ira,Can I view my account balance?,Can I view my account balance?,0.42284713397052176,Can I view my account balance?,How much cash do I have to trade with?,When will my funds be available?,1,1,13
wondering about my account balan,Can I view my account balance?,Can I view my account balance?,0.23352856436172462,Can I view my account balance?,How much can I withdraw from my account?,How do I make a trade?,1,1,5
daily ending balance,Can I view my account balance?,Can I view my account balance?,0.5229034430782676,Can I view my account balance?,I have a question about alerts,How can I receive a copy of my statement?,1,1,3
how much money is in my [number redacted] accounts now?,Can I view my account balance?,Can I view my account balance?,0.8474066514178286,Can I view my account balance?,How much can I withdraw from my account?,How much do I need to save for retirement?,1,1,10
show my employee pension balance,Can I view my account balance?,I have questions about my pension benefit,0.3982483649475449,I have questions about my pension benefit,Can I view my account balance?,What is a Simplified Employee Pension (SEP) IRA?,1,0,5
how much money is in my retirement accout?,Can I view my account balance?,Can I view my account balance?,0.4979624948538008,Can I view my account balance?,How much do I need to save for retirement?,How can I receive a copy of my statement?,1,1,8
account balance statement,Can I view my account balance?,Can I view my account balance?,0.49534459312035223,Can I view my account balance?,How can I receive a copy of my statement?,I need an asset verification letter,1,1,3
i wanna know my 401k balance,Can I view my account balance?,Can I view my account balance?,0.7931533055154781,Can I view my account balance?,I need information about loans,Where can I view my account history?,1,1,6
how do i see roth 401k balance,Can I view my account balance?,Can I view my account balance?,0.951176338511518,Can I view my account balance?,I want to set up a transfer,I need to know about my account positions,1,1,7
how do i find my 403b roth balance,Can I view my account balance?,Can I view my account balance?,0.9297404668996498,Can I view my account balance?,I want to set up a transfer,I can't find my account,1,1,8
debit balance on has account,Can I view my account balance?,Can I view my account balance?,0.9022464497242758,Can I view my account balance?,Is there an account minimum?,I want to set up a transfer,1,1,5
where can i see the balance in my 401k roth account?,Can I view my account balance?,Can I view my account balance?,0.9641594403778173,Can I view my account balance?,I need to know about my account positions,I can't find my account,1,1,11
i need to know how much is in my accou,Can I view my account balance?,Can I view my account balance?,0.7417607611154551,Can I view my account balance?,Where do I find information about my accounts?,I need to know about my account positions,1,1,10
account closure,How do I close my account?,How do I close my account?,0.7591137643927975,How do I close my account?,Where can I view my account history?,Are my accounts insured?,1,1,2
account needs to be closed,How do I close my account?,How do I close my account?,0.8307875448804336,How do I close my account?,I need help deciding which account to open,How do I hide an account?,1,1,5
can i cancel my 401k,How do I close my account?,How do I close my account?,0.8862131880068056,How do I close my account?,I have a question about my contributions,How can I update or cancel my order?,1,1,5
can i close account,How do I close my account?,How do I close my account?,0.9791072692849874,How do I close my account?,What are the actions on the options trade ticket?,How do I consolidate my accounts?,1,1,4
can i close my 401k,How do I close my account?,How do I close my account?,0.9426527452906079,How do I close my account?,How long does it take for my EFT to be added to my account?,I can't find my account,1,1,5
can i close my account and transfer money to me?,How do I close my account?,How do I close my account?,0.8689336634956845,How do I close my account?,I want to set up a transfer,How long does it take for my EFT to be added to my account?,1,1,10
can i close out my account to purchase a home,How do I close my account?,How do I close my account?,0.8757953863457215,How do I close my account?,Is this activity taxable?,Does Fidelity offer home loans or an equity line of credit?,1,1,10
can i withdraw funds from my account or close it down,How do I close my account?,I want to set up a withdrawal,0.6972504740409718,I want to set up a withdrawal,How do I close my account?,Is this activity taxable?,1,0,11
can you close out my 3 cent balance cash account?,How do I close my account?,How do I close my account?,0.8076532609388266,How do I close my account?,Can I view my account balance?,I want to set up a withdrawal,1,1,10
can you please tell me how to close all my accounts.,How do I close my account?,How do I close my account?,0.903114329581953,How do I close my account?,Where can I view my account history?,What are your fees?,1,1,11
can you tell me how to sell and close this account?,How do I close my account?,How do I close my account?,0.9012973917322583,How do I close my account?,How do I make a trade?,Where can I view my account history?,1,1,11
cancel managed accounts,How do I close my account?,I have questions about professional money management from Fidelity,0.7055849364484827,I have questions about professional money management from Fidelity,How do I close my account?,I need to know the amount I paid in management fees,1,0,3
cancel my ac,How do I close my account?,How do I close my account?,0.5263001367927171,How do I close my account?,How can I update or cancel my order?,I have questions about checkwriting and checks,1,1,3
cancel roth ira,How do I close my account?,How do I close my account?,0.6549377404060944,How do I close my account?,I am looking for information on recharacterization,How can I update or cancel my order?,1,1,3
close 529 account,How do I close my account?,How do I close my account?,0.766379463544755,How do I close my account?,What is a 529?,What are your fees for 529 accounts?,1,1,3
close account and transfer money to checking,How do I close my account?,How do I close my account?,0.6978453567560727,How do I close my account?,I want to set up a transfer,When will my funds be available?,1,1,7
close brokerage account,How do I close my account?,How do I close my account?,0.7638314731388993,How do I close my account?,What is a brokerage account?,How do I open an account?,1,1,3
close my acc,How do I close my account?,How do I close my account?,0.8892387068952593,How do I close my account?,What is my account number?,What are the actions on the options trade ticket?,1,1,3
close my account & withdraw.,How do I close my account?,How do I close my account?,0.9258299675866716,How do I close my account?,I want to set up a withdrawal,How much can I withdraw from my account?,1,1,5
close my fidelity account,How do I close my account?,How do I close my account?,0.9680390903537122,How do I close my account?,I have questions about Fidelity Go®,How do I set up direct debit payments from my Fidelity account?,1,1,4
close my ira,How do I close my account?,How do I close my account?,0.9160557768796115,How do I close my account?,What is an IRA?,What are your fees?,1,1,3
close my ira account,How do I close my account?,How do I close my account?,0.969977191003745,How do I close my account?,What is an IRA?,What are your fees?,1,1,4
close our account and withdraw funds,How do I close my account?,How do I close my account?,0.7275742451539836,How do I close my account?,I want to set up a withdrawal,Where can I view my account history?,1,1,6
close out fidelity account,How do I close my account?,How do I close my account?,0.9436521893261669,How do I close my account?,How do I open an account?,I have questions about Fidelity Go®,1,1,4
close roth ira account,How do I close my account?,How do I close my account?,0.9326390125734185,How do I close my account?,What is a Roth IRA?,Do you offer Roth IRAs for kids?,1,1,4
close the hsa,How do I close my account?,How do I close my account?,0.7393684152635508,How do I close my account?,How do I open an HSA?,How do I pay with my HSA?,1,1,3
close this account,How do I close my account?,How do I close my account?,0.9530306107383282,How do I close my account?,Where can I view my account history?,What type of account do I have?,1,1,3
close utma account,How do I close my account?,How do I close my account?,0.5746378661934219,How do I close my account?,What is a custodial account?,How long does it take for my EFT to be added to my account?,1,1,3
deactivate my account,How do I close my account?,How do I close my account?,0.7461530050163804,How do I close my account?,How do I register my new account?,I can't find my account,1,1,3
deactivate my fidelity account,How do I close my account?,How do I close my account?,0.3817364163009709,How do I close my account?,How do I register my new account?,Are my accounts insured?,1,1,4
delete accound,How do I close my account?,How do I close my account?,0.8219005778677886,How do I close my account?,I want to remove someone from my account,How do I remove an account from Full View?,1,1,2
delete accounts,How do I close my account?,How do I close my account?,0.847419798216887,How do I close my account?,How do I hide an account?,How do I remove an account from Full View?,1,1,2
deleting an account,How do I close my account?,How do I close my account?,0.5011298821433361,How do I close my account?,How do I hide an account?,How do I open an account?,1,1,3
hello i am trying to find out how i can close my fidelity employee stock plan and what the tax consequences ar,How do I close my account?,Is this activity taxable?,0.40045725160750356,Is this activity taxable?,How do I close my account?,How do I choose a good investment?,1,0,22
hi i need to close out my educational account or cash it out and give the money to my children,How do I close my account?,How do I close my account?,0.6590907114022424,How do I close my account?,I want to set up a withdrawal,How do I make a trade?,1,1,20
how can close my account,How do I close my account?,How do I close my account?,0.9747130041868208,How do I close my account?,Where can I view my account history?,Where do I find information about my accounts?,1,1,5
how can i close a utma account that has .,How do I close my account?,How do I close my account?,0.6732280949144734,How do I close my account?,How do I transfer a custodial account to the minor?,What is a custodial account?,1,1,10
how can i close it,How do I close my account?,How do I close my account?,0.9067889853402118,How do I close my account?,What does on the close mean?,What are the actions on the options trade ticket?,1,1,5
how can i close this a,How do I close my account?,How do I close my account?,0.9069705157976139,How do I close my account?,What does on the close mean?,What are the actions on the options trade ticket?,1,1,6
how close an account?,How do I close my account?,How do I close my account?,0.932880950620038,How do I close my account?,What does on the close mean?,How do I hide an account?,1,1,4
how do i cancel my account?,How do I close my account?,How do I close my account?,0.9586817723414652,How do I close my account?,How can I update or cancel my order?,I want to contact an advisor,1,1,6
how do i close a 529 plan,How do I close my account?,How do I close my account?,0.9051833483655007,How do I close my account?,What 529 plans do you offer?,How do I change my 529 funds?,1,1,7
how do i close a account?,How do I close my account?,How do I close my account?,0.9854989510797675,How do I close my account?,How do I hide an account?,What are the actions on the options trade ticket?,1,1,6
how do i close an ac count,How do I close my account?,How do I close my account?,0.9833290981119036,How do I close my account?,What are the actions on the options trade ticket?,How do I make a trade?,1,1,7
how do i close an account?,How do I close my account?,How do I close my account?,0.9840943984175624,How do I close my account?,How do I hide an account?,How do I open an account?,1,1,6
how do i close my account.,How do I close my account?,How do I close my account?,0.982917709931977,How do I close my account?,I can't find my account,How do I register my new account?,1,1,6
how do i close my brokerage account?,How do I close my account?,How do I close my account?,0.9468498983609163,How do I close my account?,What is a brokerage account?,How do I group family accounts for one household?,1,1,7
how do i close my fidelity account?,How do I close my account?,How do I close my account?,0.9812479644979033,How do I close my account?,I have questions about Fidelity Go®,How do I open an account?,1,1,7
how do i close of my accounts,How do I close my account?,How do I close my account?,0.9806379126117413,How do I close my account?,How can I receive a copy of my statement?,How do I name an account?,1,1,7
how do i close out an account?,How do I close my account?,How do I close my account?,0.9755190063327044,How do I close my account?,How do I open an account?,How do I make a trade?,1,1,7
how do i close out my account,How do I close my account?,How do I close my account?,0.9770596806763308,How do I close my account?,How do I make a trade?,How do I log out of my account?,1,1,7
how do i close this account - i thought it was closed when i cashed out what was there.,How do I close my account?,How do I close my account?,0.6765796745102366,How do I close my account?,Where can I view my account history?,I am worried about fraud on my account,1,1,19
how do i close this account?,How do I close my account?,How do I close my account?,0.9763100375988901,How do I close my account?,Where can I view my account history?,How can I receive a copy of my statement?,1,1,6
how do i close this account? it has only .16 cents in it.,How do I close my account?,How do I close my account?,0.9451150983699038,How do I close my account?,I am having trouble logging in,Where can I view my account history?,1,1,13
how do i delete an account?,How do I close my account?,How do I close my account?,0.8851901414969389,How do I close my account?,How do I remove an account from Full View?,How do I hide an account?,1,1,6
how do i get rid of accounts that have a $0 value?,How do I close my account?,How do I close my account?,0.6881805440054477,How do I close my account?,I need to know about my account positions,Can I remove a worthless security from my account?,1,1,12
how do i know if my account is closed?,How do I close my account?,Where can I view my account history?,0.1850640373716127,Where can I view my account history?,How do I sell specific lots of a stock?,What type of account do I have?,0,0,9
how do i stop my 401k,How do I close my account?,I have a question about my contributions,0.6186855575255222,I have a question about my contributions,I can't find my account,How do I enroll in my 401(k) or 403(b) account?,0,0,6
how do i transfer my money to my account and close my account,How do I close my account?,How do I close my account?,0.6013684320894809,How do I close my account?,I want to set up a transfer,Where can I view my account history?,1,1,13
how do is close out my 401k,How do I close my account?,How do I close my account?,0.9051908605620248,How do I close my account?,How long does it take for my EFT to be added to my account?,What are Fidelity's hours?,1,1,7
how do we close our fidelity account?,How do I close my account?,How do I close my account?,0.9740702643543647,How do I close my account?,I want to set up a transfer,How do I open an account?,1,1,7
how do you close an account?,How do I close my account?,How do I close my account?,0.977418808688008,How do I close my account?,What are Fidelity's hours?,How do I hide an account?,1,1,6
how to cancel account,How do I close my account?,How do I close my account?,0.9223889015005186,How do I close my account?,How can I update or cancel my order?,I want to remove someone from my account,1,1,4
how to close a trust account,How do I close my account?,How do I close my account?,0.5903106669264129,How do I close my account?,How do I open a trust account?,I need to update or certify a trustee,1,1,6
how to close in ira and transfer assets  to joint account,How do I close my account?,I want to set up a transfer,0.6346187349802634,I want to set up a transfer,How do I close my account?,When will my funds be available?,1,0,12
how to delete account,How do I close my account?,How do I close my account?,0.8817887748760679,How do I close my account?,I want to make changes to my bank information,How do I remove an account from Full View?,1,1,4
i accidentally opened an account and have not funded this that i would like to delete.  how do i do this?,How do I close my account?,How do I close my account?,0.822957715263281,How do I close my account?,I want to contact you,Where can I view my account history?,1,1,22
i accidentally opened two new rollover ira accounts when i thought a request had timed out.,How do I close my account?,How do I close my account?,0.6012262310377545,How do I close my account?,I have questions about rollovers,I want to track something I submitted to Fidelity,1,1,16
i am interested in closing an account,How do I close my account?,How do I close my account?,0.8877512673052504,How do I close my account?,What is the interest rate on a cash position?,What's the difference between a traditional and Roth IRA?,1,1,7
